placement,dataset,n_windows,n_features,test_f1,precision,recall,auc,best_model
CHEST,SisFall,70346,23,0.8688506628684124,0.8906109613656783,0.8481283422459893,0.9679937843829776,ExtraTreesEntr
SHIRT,FallAllD-Waist,30708,23,0.8485071876151862,0.8419897585954645,0.8551263001485884,0.9756876241593104,WeightedEnsemble_L2
PANTS,FallAllD-Waist (hip proxy),30708,26,0.836027713625866,0.8674121405750799,0.8068350668647846,0.9706757860376464,ExtraTreesGini
